manner_of_death,armed,age,gender,race,city,state,flee,body_camera,arms_category,year
shot and Tasered,knife,43,M,Black,Las Vegas,NV,Not fleeing,TRUE,Sharp objects,2018
shot,toy weapon,18,M,Hispanic,Ogden,UT,Not fleeing,TRUE,Other unusual objects,2018
shot,gun,27,M,Hispanic,Napa,CA,Foot,FALSE,Guns,2018
shot,knife,41,M,White,Philadephia,PA,Not fleeing,FALSE,Sharp objects,2018
shot,gun,41,M,White,Martinez,CA,Foot,FALSE,Guns,2018
shot,knife,33,M,Black,Richmond,VA,Not fleeing,FALSE,Sharp objects,2018
shot,gun,53,M,Black,Henry County,GA,Not fleeing,FALSE,Guns,2018
shot,gun,42,M,White,Redding,CA,Car,FALSE,Guns,2018
shot,gun,46,M,White,Pahrump,NV,Not fleeing,TRUE,Guns,2018
shot,unknown,51,M,Hispanic,Fort Pierce,FL,Not fleeing,FALSE,Unknown,2018
shot,gun,16,M,Black,Columbus,OH,Not fleeing,FALSE,Guns,2018
shot,knife,41,M,White,West Wendover,NV,Car,FALSE,Sharp objects,2018
shot,gun,24,M,Black,Savannah,GA,Not fleeing,FALSE,Guns,2018
shot,gun,23,M,Black,Torrance,CA,Not fleeing,FALSE,Guns,2018
shot,gun,50,M,White,Springdale,AR,Not fleeing,FALSE,Guns,2018
shot,gun,41,M,White,Noble County,OK,Car,FALSE,Guns,2018
shot,knife,23,M,White,Fredonia,NY,Not fleeing,FALSE,Sharp objects,2018
shot,knife,33,M,White,Redwood City,CA,Not fleeing,FALSE,Sharp objects,2018
shot,gun,25,F,White,Bibb County,GA,Not fleeing,FALSE,Guns,2018
shot,gun,30,F,Asian,Pahoa,HI,Not fleeing,FALSE,Guns,2018
shot,gun,58,M,White,Rangley,CO,Not fleeing,TRUE,Guns,2018
shot,knife,47,M,Black,Buffalo,NY,Foot,FALSE,Sharp objects,2018
shot,knife,22,M,White,Pope County,AR,Car,FALSE,Sharp objects,2018
shot,gun,27,F,Black,Calhoun,GA,Not fleeing,FALSE,Guns,2018
shot,vehicle,29,M,Black,St. Louis,MO,Car,FALSE,Vehicles,2018
shot,gun,43,M,White,Jacksonville,FL,Not fleeing,FALSE,Guns,2018
shot,toy weapon,18,M,White,Jacksonville,FL,Not fleeing,FALSE,Other unusual objects,2018
shot,gun,19,M,Hispanic,Albuquerque,NM,Foot,FALSE,Guns,2018
shot,gun,37,M,White,Bushnell,FL,Car,FALSE,Guns,2018
shot,gun,42,M,Black,Memphis,TN,Not fleeing,FALSE,Guns,2018
shot,knife,35,M,Hispanic,Hanford,CA,Not fleeing,FALSE,Sharp objects,2018
shot,gun,50,M,White,Mesa,AZ,Not fleeing,FALSE,Guns,2018
shot,gun,60,M,White,Apple Creek,OH,Other,TRUE,Guns,2018
